prompt,mood,era,content_genres,tags
A homeless veteran in worn fatigues sleeps under cardboard beneath a freeway overpass; cars streak the roadway above,desolate,modern,drama|memoir|literary,homeless|veteran|underpass|highway|sleep
A rancher in a weathered hat herds cattle across a Wyoming prairie at sunset as a sheepdog flanks the herd,laboring,modern,memoir|literary|adventure,rancher|cattle|prairie|wyoming|sunset
A mother teaches her young daughter to swim in the shallow turquoise of a Mediterranean cove,joyful,modern,family|memoir,mother|daughter|swim|sea|summer
A ballerina in a white tutu rests with her head bowed at the practice barre in a sunlit dance studio,exhausted,modern,literary|memoir|drama,ballerina|studio|barre|dance|professional
A young man stands frozen on a city subway platform watching as the train doors close on a woman he meant to follow,bittersweet,modern,romance|literary|drama,man|subway|woman|train|missed
A cellist tunes her instrument backstage at a recital hall while stagehands move past in the dim hallway,focused,modern,literary|memoir|drama,cellist|backstage|tuning|recital|professional
A grandmother teaches her teenage granddaughter to roll out pasta on a sunlit kitchen table dusted with flour,warm,modern,family|memoir|culinary,grandmother|teen|pasta|kitchen|tradition
A young woman in a wool coat reads a tattered paperback alone at a corner table of a Vienna coffeehouse,quiet,modern,literary|memoir|romance,woman|coffeehouse|book|vienna|reading
A combat photographer rinses chemicals in a red-lit darkroom while wet prints hang from a clothesline,focused,1970s,memoir|literary|war,photographer|darkroom|prints|chemistry|professional
A husband and wife dance slowly in their darkened living room to a record player while their children sleep upstairs,tender,modern,family|romance|memoir,couple|dance|living-room|record|night
An astronaut floats outside the International Space Station tethered to a robotic arm with Earth filling the view,awestruck,modern,sci-fi|adventure|memoir,astronaut|spacewalk|earth|iss|space
A young executive stands alone at a vast boardroom window at night looking out at a glittering city skyline,contemplative,modern,drama|literary|business,executive|boardroom|window|skyline|night
A lifeguard scans an empty Pacific surf at dawn from a weathered wooden tower; the flag snaps in the offshore breeze,vigilant,modern,memoir|literary|adventure,lifeguard|tower|beach|dawn|surf
A homicide detective unlocks the door of a dim suburban motel room while his partner waits with a drawn pistol,tense,modern,crime|thriller|noir,detective|motel|door|gun|night
A small-town pastor closes a battered Bible at the pulpit of a wooden chapel as parishioners file out,reverent,modern,memoir|literary|religious,pastor|chapel|bible|congregation|small-town
A teenage girl sits cross-legged on her bedroom floor surrounded by college acceptance letters at midnight,hopeful,modern,coming-of-age|family|literary,teen|bedroom|letters|college|night
A long-distance trucker eats pie alone at a fluorescent-lit highway diner counter at three in the morning,solitary,modern,literary|memoir|noir,trucker|diner|pie|night|americana
A field biologist stands at the prow of a small boat photographing a humpback whale breaching in a misted bay,awestruck,modern,memoir|adventure|nature,biologist|whale|boat|bay|wildlife
A young couple stands on a Brooklyn rooftop at sunrise looking at the Manhattan skyline emerging from morning haze,hopeful,modern,romance|literary|memoir,couple|rooftop|sunrise|new-york|skyline
A war veteran in a wheelchair sits alone facing a row of military gravestones at a windswept national cemetery,grief,modern,memoir|drama|war,veteran|cemetery|graves|wheelchair|memory
A young woman in a hospital gown sits on the edge of an exam table reading her own X-ray on a backlit panel,fearful,modern,medical|drama|memoir,woman|hospital|xray|exam|fear
A fishing-boat captain steers his trawler through a fog-shrouded Newfoundland sea; the ship's bell tolls dimly,steady,modern,literary|memoir|adventure,captain|trawler|fog|sea|labor
A young father reads a bedtime story to his daughter beneath a constellation night-light in her small bedroom,tender,modern,family|memoir,father|daughter|bedtime|story|night
A homicide detective stands over an empty crib in a dust-furred abandoned nursery; afternoon light falls through tattered curtains,tense,modern,crime|thriller|drama,detective|nursery|crib|abandoned|day
A young immigrant family poses on the deck of a cruise ship sailing into New York harbor with the skyline ahead,hopeful,modern,family|memoir|literary,family|ship|new-york|skyline|arrival
A newsroom editor stands at a glass office wall watching reporters work at desks below as breaking-news graphics flash on monitors,focused,modern,drama|thriller|journalism,editor|newsroom|reporters|breaking-news|professional
A high-school principal walks an empty fluorescent-lit hallway between rows of red lockers after final bell,solitary,modern,coming-of-age|drama|literary,principal|school|hallway|lockers|empty
A young soldier kneels at the side of a road in a foreign village to share his rations with a small barefoot child,tender,modern,war|memoir|drama,soldier|child|village|rations|war
A mountaineer in down gear stands at the summit of a wind-scoured Himalayan peak holding a tattered prayer flag,triumphant,modern,memoir|adventure,climber|summit|himalaya|flag|wilderness
A grandmother and granddaughter share a porch swing at dusk while fireflies light up the long grass beyond,tender,modern,family|memoir,grandmother|child|porch|fireflies|dusk
A homicide detective stares at a corkboard covered in crime-scene photographs and red string in a dim home office,obsessed,modern,crime|thriller|noir,detective|corkboard|investigation|home|night
A teenage skateboarder pops an ollie off a graffiti-tagged loading dock under flickering sodium streetlights,free,modern,coming-of-age|memoir|literary,skateboarder|street|night|graffiti|youth
A father and son stand at the rim of the Grand Canyon at sunrise; the canyon walls glow rust and gold below them,awestruck,modern,family|memoir|adventure,father|son|grand-canyon|sunrise|wilderness
A young woman cradles a sleeping rescue dog on the back seat of a rural veterinary clinic; soft afternoon light pours through the window,tender,modern,memoir|family|drama,woman|dog|clinic|rescue|tender
A homicide detective examines a bloody footprint on a polished hardwood floor by the beam of a small flashlight,tense,modern,crime|thriller|noir,detective|footprint|floor|flashlight|investigation
A young mother in a bookshop reads a picture book aloud to a circle of children seated cross-legged on a rug,warm,modern,family|memoir|literary,woman|bookshop|children|reading|community
A jazz pianist plays alone in a darkened New York hotel lobby past midnight; a single lamp lights the keys,solitary,modern,literary|memoir|romance|noir,pianist|lobby|hotel|night|jazz
A young woman in oversized headphones edits video on a glowing laptop in a cluttered apartment at three a.m.,focused,modern,literary|memoir|drama,woman|laptop|editing|apartment|night
A retired couple wades into the warm shallows of a Caribbean beach at sunrise hand in hand,tender,modern,memoir|romance|family,couple|beach|caribbean|sunrise|elderly
A combat soldier stares blankly at the ceiling of a VA waiting room while his counselor flips through a manila file,exhausted,modern,war|drama|memoir,soldier|veteran|waiting-room|counselor|trauma
A young surgeon snaps off bloodied gloves into a stainless bin and leans against the operating-room wall after a long procedure,exhausted,modern,medical|drama,surgeon|operating-room|gloves|exhausted|professional
A homicide detective stands under a single bare bulb in a basement evidence locker reviewing a yellowed cold-case file,obsessed,modern,crime|thriller|noir,detective|evidence|cold-case|file|basement
